country,country_name,sector,prism_score,structural_score,fundamentals_score,behavior_score,topdown_score,num_firms,top_firms,porter_score,lifecycle_score,barriers,substitutes,rivalry,market_behavior_score,ret_12m,ret_6m,ann_vol,max_drawdown,beta,growth_score,gdp_pc_score,swot_score
US,United States,Communication Services,65.34,52.0,65.83,77.47,78.32,5,"['META', 'GOOG', 'GOOGL', 'NFLX', 'DIS']",47.5,62.5,2.5,4.0,3.0,77.47,0.8506,0.8261,0.3032,0.2981,1.037,45.0,81.51,50.0
US,United States,Consumer Discretionary,52.85,50.25,42.95,49.3,78.32,5,"['AMZN', 'TSLA', 'HD', 'MCD', 'NKE']",45.0,62.5,2.5,3.0,3.0,49.3,0.0521,0.0578,0.3141,0.3088,1.33,45.0,81.51,50.0
US,United States,Consumer Staples,56.45,50.25,48.45,63.3,78.32,5,"['COST', 'WMT', 'PG', 'KO', 'PEP']",45.0,62.5,2.5,3.0,3.0,63.3,0.2306,0.184,0.2161,0.2193,0.577,45.0,81.51,50.0
US,United States,Energy,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Financials,55.7,48.5,48.27,61.77,78.32,5,"['JPM', 'BAC', 'WFC', 'GS', 'MS']",42.5,62.5,2.5,3.0,3.0,61.77,0.3217,0.1925,0.2376,0.2442,0.953,45.0,81.51,50.0
US,United States,Health Care,60.81,48.5,62.07,57.73,78.32,5,"['LLY', 'UNH', 'JNJ', 'ABBV', 'MRK']",42.5,62.5,2.5,3.0,3.0,57.73,0.2266,0.3106,0.3573,0.3448,0.636,45.0,81.51,50.0
US,United States,Industrials,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Information Technology,59.0,52.0,57.45,47.54,78.32,5,"['MSFT', 'AAPL', 'NVDA', 'AVGO', 'PLTR']",47.5,62.5,2.5,4.0,3.0,47.54,0.2572,0.2791,0.5099,0.3688,1.833,45.0,81.51,50.0
US,United States,Materials,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Real Estate,54.16,45.0,50.0,50.0,78.32,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Utilities,54.16,45.0,50.0,50.0,78.32,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,45.0,81.51,50.0
CN,China,Communication Services,48.99,52.0,50.0,50.0,41.93,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Consumer Discretionary,39.97,50.25,30.43,43.38,41.93,5,"['1211.HK', 'NIO', 'XPEV', 'LI', 'BABA']",45.0,62.5,2.5,3.0,3.0,43.38,0.1925,-0.2417,0.4057,0.3953,1.0,72.0,11.84,50.0
CN,China,Consumer Staples,48.46,50.25,50.0,50.0,41.93,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Energy,47.94,48.5,50.0,50.0,41.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Financials,47.94,48.5,50.0,50.0,41.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Health Care,47.94,48.5,50.0,50.0,41.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Industrials,47.94,48.5,50.0,50.0,41.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Information Technology,54.53,52.0,60.21,64.58,41.93,5,"['BABA', 'TCEHY', 'JD', 'PDD', 'BIDU']",47.5,62.5,2.5,4.0,3.0,64.58,0.5376,0.1824,0.3425,0.2488,0.581,72.0,11.84,50.0
CN,China,Materials,47.94,48.5,50.0,50.0,41.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Real Estate,46.89,45.0,50.0,50.0,41.93,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,72.0,11.84,50.0
CN,China,Utilities,46.89,45.0,50.0,50.0,41.93,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,72.0,11.84,50.0
JP,Japan,Communication Services,46.04,52.0,50.0,50.0,27.19,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Consumer Discretionary,41.36,50.25,39.76,49.39,27.19,2,"['9983.T', '7203.T']",45.0,62.5,2.5,3.0,3.0,49.39,0.1631,0.13,0.3595,0.4167,1.0,39.0,33.28,50.0
JP,Japan,Consumer Staples,45.51,50.25,50.0,50.0,27.19,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Energy,44.99,48.5,50.0,50.0,27.19,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Financials,44.99,48.5,50.0,50.0,27.19,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Health Care,44.99,48.5,50.0,50.0,27.19,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Industrials,37.91,48.5,29.41,61.52,27.19,2,"['8058.T', '5401.T']",42.5,62.5,2.5,3.0,3.0,61.52,0.4682,0.3192,0.3036,0.3373,1.0,39.0,33.28,50.0
JP,Japan,Information Technology,45.19,52.0,45.54,59.39,27.19,4,"['8035.T', '6758.T', '6861.T', '6503.T']",47.5,62.5,2.5,4.0,3.0,59.39,0.463,0.1288,0.3594,0.2663,1.0,39.0,33.28,50.0
JP,Japan,Materials,44.99,48.5,50.0,50.0,27.19,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Real Estate,43.94,45.0,50.0,50.0,27.19,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,39.0,33.28,50.0
JP,Japan,Utilities,43.94,45.0,50.0,50.0,27.19,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,39.0,33.28,50.0
DE,Germany,Communication Services,46.96,52.0,50.0,50.0,31.78,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Consumer Discretionary,46.43,50.25,50.0,50.0,31.78,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Consumer Staples,46.43,50.25,50.0,50.0,31.78,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Energy,45.91,48.5,50.0,50.0,31.78,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Financials,44.69,48.5,43.36,64.35,31.78,1,['ALV.DE'],42.5,62.5,2.5,3.0,3.0,64.35,0.281,0.0735,0.1771,0.1203,1.0,17.0,52.34,50.0
DE,Germany,Health Care,45.91,48.5,50.0,50.0,31.78,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Industrials,45.94,48.5,47.08,61.99,31.78,1,['RHM.DE'],42.5,62.5,2.5,3.0,3.0,61.99,1.5077,-0.1481,0.4253,0.2743,1.0,17.0,52.34,50.0
DE,Germany,Information Technology,48.91,52.0,54.99,49.61,31.78,1,['SAP'],47.5,62.5,2.5,4.0,3.0,49.61,-0.0162,-0.1904,0.265,0.25,0.823,17.0,52.34,50.0
DE,Germany,Materials,45.91,48.5,50.0,50.0,31.78,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Real Estate,44.86,45.0,50.0,50.0,31.78,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,17.0,52.34,50.0
DE,Germany,Utilities,44.86,45.0,50.0,50.0,31.78,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,17.0,52.34,50.0
IN,India,Communication Services,44.96,52.0,50.0,50.0,21.81,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Consumer Discretionary,44.44,50.25,50.0,50.0,21.81,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Consumer Staples,44.44,50.25,50.0,50.0,21.81,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Energy,40.26,48.5,39.17,56.75,21.81,1,['RELIANCE.NS'],42.5,62.5,2.5,3.0,3.0,56.75,0.1817,0.0676,0.2129,0.2718,1.0,92.0,1.63,50.0
IN,India,Financials,43.91,48.5,50.0,50.0,21.81,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Health Care,43.91,48.5,50.0,50.0,21.81,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Industrials,41.0,48.5,40.25,59.86,21.81,3,"['TATAMOTORS.NS', 'ADANIENT.NS', 'M&M.NS']",42.5,62.5,2.5,3.0,3.0,59.86,0.2359,0.2136,0.2949,0.2242,1.0,92.0,1.63,50.0
IN,India,Information Technology,46.99,52.0,56.16,45.64,21.81,2,"['TCS.NS', 'INFY.NS']",47.5,62.5,2.5,4.0,3.0,45.64,-0.2305,-0.0469,0.2089,0.3445,1.0,92.0,1.63,50.0
IN,India,Materials,41.18,48.5,42.34,53.33,21.81,1,['TATASTEEL.NS'],42.5,62.5,2.5,3.0,3.0,53.33,0.1725,0.0622,0.2884,0.3168,1.0,92.0,1.63,50.0
IN,India,Real Estate,42.86,45.0,50.0,50.0,21.81,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,92.0,1.63,50.0
IN,India,Utilities,42.86,45.0,50.0,50.0,21.81,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,92.0,1.63,50.0
GB,United Kingdom,Communication Services,46.59,52.0,50.0,50.0,29.93,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Consumer Discretionary,46.06,50.25,50.0,50.0,29.93,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Consumer Staples,46.06,50.25,50.0,50.0,29.93,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Energy,45.54,48.5,50.0,50.0,29.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Financials,45.54,48.5,50.0,50.0,29.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Health Care,45.54,48.5,50.0,50.0,29.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Industrials,45.54,48.5,50.0,50.0,29.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Information Technology,46.59,52.0,50.0,50.0,29.93,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Materials,45.54,48.5,50.0,50.0,29.93,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Real Estate,44.49,45.0,50.0,50.0,29.93,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,25.0,48.39,50.0
GB,United Kingdom,Utilities,44.49,45.0,50.0,50.0,29.93,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,25.0,48.39,50.0
FR,France,Communication Services,46.36,52.0,50.0,50.0,28.79,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Consumer Discretionary,46.36,50.25,51.39,49.71,28.79,1,['MC.PA'],45.0,62.5,2.5,3.0,3.0,49.71,-0.001,0.373,0.3073,0.4814,1.0,29.0,44.99,50.0
FR,France,Consumer Staples,45.83,50.25,50.0,50.0,28.79,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Energy,45.73,48.5,49.52,56.12,28.79,1,['TTE.PA'],42.5,62.5,2.5,3.0,3.0,56.12,0.1205,0.0629,0.1988,0.2672,1.0,29.0,44.99,50.0
FR,France,Financials,45.31,48.5,50.0,50.0,28.79,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Health Care,45.31,48.5,50.0,50.0,28.79,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Industrials,45.31,48.5,50.0,50.0,28.79,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Information Technology,46.36,52.0,50.0,50.0,28.79,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Materials,45.09,48.5,47.66,57.13,28.79,1,['AI.PA'],42.5,62.5,2.5,3.0,3.0,57.13,0.0377,-0.108,0.1774,0.1245,1.0,29.0,44.99,50.0
FR,France,Real Estate,44.26,45.0,50.0,50.0,28.79,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,29.0,44.99,50.0
FR,France,Utilities,44.26,45.0,50.0,50.0,28.79,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,29.0,44.99,50.0
IT,Italy,Communication Services,45.49,52.0,50.0,50.0,24.44,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Consumer Discretionary,44.96,50.25,50.0,50.0,24.44,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Consumer Staples,44.96,50.25,50.0,50.0,24.44,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Energy,44.44,48.5,50.0,50.0,24.44,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Financials,44.44,48.5,50.0,50.0,24.44,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Health Care,44.44,48.5,50.0,50.0,24.44,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Industrials,44.44,48.5,50.0,50.0,24.44,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Information Technology,45.49,52.0,50.0,50.0,24.44,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Materials,44.44,48.5,50.0,50.0,24.44,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Real Estate,43.39,45.0,50.0,50.0,24.44,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,27.0,37.52,50.0
IT,Italy,Utilities,43.39,45.0,50.0,50.0,24.44,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,27.0,37.52,50.0
BR,Brazil,Communication Services,43.86,52.0,50.0,50.0,16.31,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Consumer Discretionary,43.34,50.25,50.0,50.0,16.31,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Consumer Staples,43.34,50.25,50.0,50.0,16.31,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Energy,42.81,48.5,50.0,50.0,16.31,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Financials,42.81,48.5,50.0,50.0,16.31,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Health Care,42.81,48.5,50.0,50.0,16.31,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Industrials,42.81,48.5,50.0,50.0,16.31,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Information Technology,43.86,52.0,50.0,50.0,16.31,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Materials,42.81,48.5,50.0,50.0,16.31,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Real Estate,41.76,45.0,50.0,50.0,16.31,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,49.0,9.22,50.0
BR,Brazil,Utilities,41.76,45.0,50.0,50.0,16.31,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,49.0,9.22,50.0
CA,Canada,Communication Services,46.93,52.0,50.0,50.0,31.64,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Consumer Discretionary,46.4,50.25,50.0,50.0,31.64,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Consumer Staples,46.4,50.25,50.0,50.0,31.64,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Energy,45.88,48.5,50.0,50.0,31.64,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Financials,45.88,48.5,50.0,50.0,31.64,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Health Care,45.88,48.5,50.0,50.0,31.64,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Industrials,45.88,48.5,50.0,50.0,31.64,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Information Technology,46.93,52.0,50.0,50.0,31.64,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Materials,45.88,48.5,50.0,50.0,31.64,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Real Estate,44.83,45.0,50.0,50.0,31.64,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,31.0,54.41,50.0
CA,Canada,Utilities,44.83,45.0,50.0,50.0,31.64,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,31.0,54.41,50.0
KR,South Korea,Communication Services,43.55,52.0,43.28,60.89,22.76,1,['035720.KS'],47.5,62.5,2.5,4.0,3.0,60.89,0.7523,0.4253,0.4369,0.4626,1.0,34.0,32.52,50.0
KR,South Korea,Consumer Discretionary,39.85,50.25,33.81,67.01,22.76,1,['005380.KS'],45.0,62.5,2.5,3.0,3.0,67.01,0.5588,0.7483,0.38,0.3816,1.0,34.0,32.52,50.0
KR,South Korea,Consumer Staples,44.63,50.25,50.0,50.0,22.76,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Energy,44.1,48.5,50.0,50.0,22.76,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Financials,44.1,48.5,50.0,50.0,22.76,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Health Care,44.1,48.5,50.0,50.0,22.76,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Industrials,44.1,48.5,50.0,50.0,22.76,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Information Technology,48.34,52.0,51.35,76.44,22.76,3,"['005930.KS', '000660.KS', '035420.KS']",47.5,62.5,2.5,4.0,3.0,76.44,0.9673,0.9287,0.327,0.4285,1.0,34.0,32.52,50.0
KR,South Korea,Materials,44.1,48.5,50.0,50.0,22.76,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Real Estate,43.05,45.0,50.0,50.0,22.76,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,34.0,32.52,50.0
KR,South Korea,Utilities,43.05,45.0,50.0,50.0,22.76,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,34.0,32.52,50.0
RU,Russia,Communication Services,43.94,52.0,50.0,50.0,16.69,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Consumer Discretionary,43.41,50.25,50.0,50.0,16.69,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Consumer Staples,43.41,50.25,50.0,50.0,16.69,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Energy,42.89,48.5,50.0,50.0,16.69,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Financials,42.89,48.5,50.0,50.0,16.69,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Health Care,42.89,48.5,50.0,50.0,16.69,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Industrials,42.89,48.5,50.0,50.0,16.69,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Information Technology,43.94,52.0,50.0,50.0,16.69,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Materials,42.89,48.5,50.0,50.0,16.69,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Real Estate,41.84,45.0,50.0,50.0,16.69,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,41.0,13.53,50.0
RU,Russia,Utilities,41.84,45.0,50.0,50.0,16.69,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,41.0,13.53,50.0
ES,Spain,Communication Services,45.47,52.0,50.0,50.0,24.35,0,[],47.5,62.5,2.5,4.0,3.0,50.0,,,,,,45.0,32.8,50.0
ES,Spain,Consumer Discretionary,44.95,50.25,50.0,50.0,24.35,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,32.8,50.0
ES,Spain,Consumer Staples,44.95,50.25,50.0,50.0,24.35,0,[],45.0,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,32.8,50.0
ES,Spain,Energy,44.42,48.5,50.0,50.0,24.35,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,32.8,50.0
ES,Spain,Financials,44.42,48.5,50.0,50.0,24.35,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,32.8,50.0
